date,imf_code,region,cpi_index
2011-01-01,U019,americas,84.744
2011-02-01,U019,americas,85.161
2011-03-01,U019,americas,85.894
2011-04-01,U019,americas,86.38
2011-05-01,U019,americas,86.688
2011-06-01,U019,americas,86.602
2011-07-01,U019,americas,86.746
2011-08-01,U019,americas,86.978
2011-09-01,U019,americas,87.169
2011-10-01,U019,americas,87.164
2011-11-01,U019,americas,87.266
2011-12-01,U019,americas,87.236
2012-01-01,U019,americas,87.643
2012-02-01,U019,americas,88.004
2012-03-01,U019,americas,88.509
2012-04-01,U019,americas,88.764
2012-05-01,U019,americas,88.706
2012-06-01,U019,americas,88.613
2012-07-01,U019,americas,88.608
2012-08-01,U019,americas,89.024
2012-09-01,U019,americas,89.423
2012-10-01,U019,americas,89.524
2012-11-01,U019,americas,89.339
2012-12-01,U019,americas,89.265
2013-01-01,U019,americas,89.678
2013-02-01,U019,americas,90.329
2013-03-01,U019,americas,90.617
2013-04-01,U019,americas,90.607
2013-05-01,U019,americas,90.741
2013-06-01,U019,americas,90.906
2013-07-01,U019,americas,90.958
2013-08-01,U019,americas,91.095
2013-09-01,U019,americas,91.267
2013-10-01,U019,americas,91.195
2013-11-01,U019,americas,91.206
2013-12-01,U019,americas,91.356
2014-01-01,U019,americas,91.819
2014-02-01,U019,americas,92.204
2014-03-01,U019,americas,92.774
2014-04-01,U019,americas,93.073
2014-05-01,U019,americas,93.354
2014-06-01,U019,americas,93.521
2014-07-01,U019,americas,93.543
2014-08-01,U019,americas,93.507
2014-09-01,U019,americas,93.672
2014-10-01,U019,americas,93.635
2014-11-01,U019,americas,93.404
2014-12-01,U019,americas,93.136
2015-01-01,U019,americas,93.184
2015-02-01,U019,americas,93.665
2015-03-01,U019,americas,94.267
2015-04-01,U019,americas,94.47
2015-05-01,U019,americas,94.861
2015-06-01,U019,americas,95.087
2015-07-01,U019,americas,95.206
2015-08-01,U019,americas,95.181
2015-09-01,U019,americas,95.292
2015-10-01,U019,americas,95.316
2015-11-01,U019,americas,95.361
2015-12-01,U019,americas,95.285
2016-01-01,U019,americas,95.817
2016-02-01,U019,americas,96.034
2016-03-01,U019,americas,96.425
2016-04-01,U019,americas,96.805
2016-05-01,U019,americas,97.141
2016-06-01,U019,americas,97.313
2016-07-01,U019,americas,97.304
2016-08-01,U019,americas,97.418
2016-09-01,U019,americas,97.754
2016-10-01,U019,americas,97.824
2016-11-01,U019,americas,97.802
2016-12-01,U019,americas,97.911
2017-01-01,U019,americas,98.614
2017-02-01,U019,americas,99.014
2017-03-01,U019,americas,99.262
2017-04-01,U019,americas,99.605
2017-05-01,U019,americas,99.736
2017-06-01,U019,americas,99.825
2017-07-01,U019,americas,99.913
2017-08-01,U019,americas,100.238
2017-09-01,U019,americas,100.703
2017-10-01,U019,americas,100.822
2017-11-01,U019,americas,101.018
2017-12-01,U019,americas,101.188
2018-01-01,U019,americas,101.75
2018-02-01,U019,americas,102.253
2018-03-01,U019,americas,102.554
2018-04-01,U019,americas,102.935
2018-05-01,U019,americas,103.328
2018-06-01,U019,americas,103.751
2018-07-01,U019,americas,103.987
2018-08-01,U019,americas,104.213
2018-09-01,U019,americas,104.598
2018-10-01,U019,americas,105.032
2018-11-01,U019,americas,104.949
2018-12-01,U019,americas,104.902
2019-01-01,U019,americas,105.208
2019-02-01,U019,americas,105.731
2019-03-01,U019,americas,106.463
2019-04-01,U019,americas,107.073
2019-05-01,U019,americas,107.373
2019-06-01,U019,americas,107.49
2019-07-01,U019,americas,107.793
2019-08-01,U019,americas,107.939
2019-09-01,U019,americas,108.201
2019-10-01,U019,americas,108.591
2019-11-01,U019,americas,108.839
2019-12-01,U019,americas,109.094
2020-01-01,U019,americas,109.337
2020-02-01,U019,americas,109.715
2020-03-01,U019,americas,109.682
2020-04-01,U019,americas,109.122
2020-05-01,U019,americas,109.179
2020-06-01,U019,americas,109.774
2020-07-01,U019,americas,110.321
2020-08-01,U019,americas,110.705
2020-09-01,U019,americas,111.012
2020-10-01,U019,americas,111.37
2020-11-01,U019,americas,111.56
2020-12-01,U019,americas,111.964
2021-01-01,U019,americas,112.481
2021-02-01,U019,americas,113.218
2021-03-01,U019,americas,114.153
2021-04-01,U019,americas,115.029
2021-05-01,U019,americas,115.936
2021-06-01,U019,americas,116.894
2021-07-01,U019,americas,117.634
2021-08-01,U019,americas,118.074
2021-09-01,U019,americas,118.671
2021-10-01,U019,americas,119.768
2021-11-01,U019,americas,120.533
2021-12-01,U019,americas,121.083
2022-01-01,U019,americas,122.445
2022-02-01,U019,americas,123.71
2022-03-01,U019,americas,125.554
2022-04-01,U019,americas,126.597
2022-05-01,U019,americas,127.966
2022-06-01,U019,americas,129.625
2022-07-01,U019,americas,130.006
2022-08-01,U019,americas,130.337
2022-09-01,U019,americas,130.867
2022-10-01,U019,americas,131.734
2022-11-01,U019,americas,132.045
2022-12-01,U019,americas,132.152
2023-01-01,U019,americas,133.619
2023-02-01,U019,americas,134.653
2023-03-01,U019,americas,135.524
2023-04-01,U019,americas,136.518
2023-05-01,U019,americas,137.142
2023-06-01,U019,americas,137.711
2023-07-01,U019,americas,138.32
2023-08-01,U019,americas,139.417
2023-09-01,U019,americas,140.317
2023-10-01,U019,americas,140.766
2023-11-01,U019,americas,141.292
2023-12-01,U019,americas,142.417
2024-01-01,U019,americas,143.297
2024-02-01,U019,americas,144.658
2024-03-01,U019,americas,145.916
2024-04-01,U019,americas,146.852
2024-05-01,U019,americas,147.324
2024-06-01,U019,americas,147.646
2024-07-01,U019,americas,148.204
2024-08-01,U019,americas,148.482
2024-09-01,U019,americas,148.838
2024-10-01,U019,americas,149.279
2024-11-01,U019,americas,149.483
2024-12-01,U019,americas,149.77
2025-01-01,U019,americas,149.927
2025-02-01,U019,americas,150.859
2025-03-01,U019,americas,151.463
2025-04-01,U019,americas,152.036
2025-05-01,U019,americas,152.478
2025-06-01,U019,americas,152.996
2025-07-01,U019,americas,153.373
2025-08-01,U019,americas,153.756
2025-09-01,U019,americas,154.238
2025-10-01,U019,americas,154.671
2025-11-01,U019,americas,154.496
2025-12-01,U019,americas,154.693
2026-01-01,U019,americas,155.761
2026-02-01,U019,americas,156.644
2026-03-01,U019,americas,158.304
